Time (s),Flame height (m)
380.5087719,1.234090909
380.5438596,0.943181818
380.5789474,0.981818182
380.6140351,1.093181818
380.6491228,1.215909091
380.6842105,1.372727273
380.7192982,0.627272727
380.754386,0.693181818
380.7894737,0.779545455
380.8245614,0.881818182
380.8596491,0.909090909
380.8947368,1.034090909
380.9298246,1.081818182
380.9649123,0.973863636
399,0.711363636
399.0350877,0.863636364
399.0701754,0.893181818
399.1052632,0.904545455
399.1403509,0.797727273
399.1754386,0.881818182
399.2105263,1.020454545
399.245614,1.143181818
399.2807018,1.281818182
399.3157895,1.322727273
399.3508772,0.752272727
399.3859649,0.734090909
399.4210526,0.797727273
399.4561404,0.902272727
399.4912281,0.743181818
399.5263158,0.85
399.5614035,0.931818182
399.5964912,1.052272727
399.6315789,1.179545455
399.6666667,1.259090909
399.7017544,0.95
399.7368421,0.895454545
399.7719298,0.595454545
399.8070175,0.584090909
399.8421053,0.670454545
399.877193,0.784090909
399.9122807,0.820454545
399.9473684,0.845454545
399.9824561,1.034090909
400.0175439,1.138636364
400.0526316,1.195454545
400.0877193,1.286363636
400.122807,1.327272727
400.1578947,0.925
400.1929825,0.554545455
400.2280702,0.668181818
400.2631579,0.765909091
400.2982456,0.929545455
400.3333333,1.015909091
400.3684211,1.002272727
400.4035088,1.093181818
400.4385965,1.170454545
400.4736842,1.281818182
400.5087719,0.852272727
400.5438596,0.959090909
400.5789474,1.220454545
400.6140351,1.309090909
400.6491228,1.022727273
400.6842105,1.154545455
400.7192982,1.036363636
400.754386,1.204545455
400.7894737,0.761363636
400.8245614,0.709090909
400.8596491,0.709090909
400.8947368,0.875
400.9298246,1.015909091
400.9649123,0.953327922
419,0.743181818
419.0350877,0.740909091
419.0701754,0.679545455
419.1052632,0.711363636
419.1403509,0.565909091
419.1754386,0.645454545
419.2105263,0.736363636
419.245614,0.693181818
419.2807018,0.797727273
419.3157895,0.981818182
419.3508772,0.972727273
419.3859649,0.918181818
419.4210526,1.004545455
419.4561404,0.884090909
419.4912281,0.722727273
419.5263158,0.652272727
419.5614035,0.718181818
419.5964912,0.843181818
419.6315789,0.965909091
419.6666667,0.720454545
419.7017544,0.888636364
419.7368421,1.002272727
419.7719298,0.904545455
419.8070175,0.645454545
419.8421053,0.684090909
419.877193,0.906818182
419.9122807,0.775
419.9473684,0.718181818
419.9824561,0.845454545
420.0175439,0.9
420.0526316,0.740909091
420.0877193,0.881818182
420.122807,0.888636364
420.1578947,0.906818182
420.1929825,0.956818182
420.2280702,1.029545455
420.2631579,1.247727273
420.2982456,1.329545455
420.3333333,0.904545455
420.3684211,0.797727273
