Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
1185,54.62745275,20.66520602,0.22963248,323.8166667,0.95701198
1188,54.19793833,20.66296711,0.227460195,323.85,0.955250176
1191,54.18663532,20.66052466,0.22818429,323.65,0.95243129
1194,53.7571209,20.65645392,0.231985789,323.1833333,0.955954898
1197,53.84754499,20.6590999,0.228546337,323.7833333,0.955602537
1200,54.61614974,20.66378126,0.229089409,324.0833333,0.953136011
1203,54.66136179,20.66357772,0.231804766,323.8166667,0.955602537
1206,54.20924134,20.66133881,0.229451456,323.2833333,0.956659619
1209,54.18663532,20.66032113,0.230356575,323.85,0.954897815
1212,54.19793833,20.65971051,0.228727361,323.9833333,0.954545455
1215,54.27705941,20.66052466,0.229270432,324.1166667,0.954193094
1218,54.27705941,20.66215296,0.234701146,324.45,0.955250176
1221,54.22054435,20.66174589,0.232709885,324.15,0.954897815
1224,54.61614974,20.66194942,0.226555076,323.85,0.954193094
1227,54.74048286,20.65645392,0.228727361,323.8833333,0.95701198
1230,54.18663532,20.65848929,0.228003266,324.55,0.954897815
1233,53.42933357,20.66133881,0.22818429,323.85,0.953488372
1236,53.01112216,20.66520602,0.229813504,323.55,0.95278365
1239,53.44063659,20.66540956,0.229813504,323.8833333,0.956659619
1242,54.18663532,20.66032113,0.230175551,324.05,0.955602537
1245,53.858848,20.65665745,0.230175551,324.2833333,0.953488372
1248,54.19793833,20.66317065,0.230537599,323.6833333,0.955250176
1251,53.44063659,20.66602017,0.228003266,323.9833333,0.95243129
1254,53.79102993,20.66418833,0.230175551,324.55,0.954193094
1257,54.66136179,20.66011759,0.231261694,323.85,0.95701198
1260,54.23184736,20.65889636,0.228727361,324.35,0.954897815
1263,53.79102993,20.66032113,0.228003266,324.1166667,0.954897815
1266,54.18663532,20.66052466,0.22963248,324.4833333,0.954897815
1269,53.41803056,20.6607282,0.230356575,324.2166667,0.955602537
1272,53.84754499,20.65889636,0.230356575,324.4833333,0.953840733
1275,53.42933357,20.65604684,0.23108067,323.85,0.956659619
1278,53.42933357,20.66052466,0.231261694,324.05,0.956307259
1281,53.76842391,20.65787868,0.229994528,323.9166667,0.954897815
1284,53.83624197,20.66276357,0.227822242,324.45,0.955954898
1287,53.7571209,20.66520602,0.229089409,324.35,0.954193094
1290,53.76842391,20.6607282,0.22963248,323.95,0.955602537
1293,53.858848,20.65726806,0.229994528,324.1833333,0.954897815
1296,53.7571209,20.65686099,0.229994528,324.05,0.954897815
1299,53.74581789,20.66052466,0.230899647,324.2166667,0.95278365
1302,54.62745275,20.66174589,0.229451456,324.05,0.956659619
1305,54.31096844,20.66256004,0.227279171,324.3833333,0.95243129
1308,54.08490822,20.65502915,0.22963248,324.6166667,0.953136011
1311,52.99981915,20.65950698,0.229089409,324.25,0.95278365
1314,53.29369744,20.65889636,0.232890908,324.9833333,0.953840733
